Number;NumberInterplaysPerCategory
0;5
1;1
2;27
3;28
4;2
5;4
6;2
7;4
8;10
9;1
10;2
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
